Title,Price,Address,Neighborhood,Main_Area,State,Bedrooms,Property_Type,Category,Price_Numeric
2 bedroom flat / apartment short let,"₦155,999per day","Mercedes-benz Street, Ikate, Lekki, Lagos",Ikate,Lekki,Lagos,2,Flat,Short Let,155999
5 bedroom detached duplex for rent,"₦20,000,000per annum","Bera Estate, Lekki, Lagos",Bera Estate,Lekki,Lagos,5,Duplex,Rent,20000000
5 bedroom house for sale,"₦980,000,000","Ikate, Lekki, Lagos",Ikate,Lekki,Lagos,5,House,Sale,980000000
4 bedroom semi-detached duplex for sale,"₦200,000,000","Ikota, Lekki, Lagos",Ikota,Lekki,Lagos,4,Duplex,Sale,200000000
4 bedroom semi-detached duplex for sale,"₦150,000,000","Ikota, Lekki, Lagos",Ikota,Lekki,Lagos,4,Duplex,Sale,150000000
2 bedroom flat / apartment for rent,"₦11,000,000per annum","Ikate, Ilasan, Lekki, Lagos",Ilasan,Lekki,Lagos,2,Flat,Rent,11000000
4 bedroom semi-detached duplex for sale,"₦900,000,000","Cowrie Creek, Ikate Elegushi, Lekki, Lagos",Ikate Elegushi,Lekki,Lagos,4,Duplex,Sale,900000000
4 bedroom semi-detached duplex for rent,"₦12,000,000per annum","Osapa, Lekki, Lagos",Osapa,Lekki,Lagos,4,Duplex,Rent,12000000
2 bedroom flat / apartment for rent,"₦18,000,000per annum","Lekki Phase 1, Lekki Phase 1, Lekki, Lagos",Lekki Phase 1,Lekki,Lagos,2,Flat,Rent,18000000
5 bedroom detached duplex for sale,"₦1,200,000,000","21 Olawale Onitiri Cole Avenue Off Admiralty Road, Lekki Phase 1, Lekki, Lagos",Lekki Phase 1,Lekki,Lagos,5,Duplex,Sale,1200000000
2 bedroom flat / apartment for sale,"₦300,000,000","Lekki Phase 1, Lekki, Lagos",Lekki Phase 1,Lekki,Lagos,2,Flat,Sale,300000000
2 bedroom flat / apartment for sale,"₦305,000,000","Lekki Right Side, Lekki Phase 1, Lekki, Lagos",Lekki Phase 1,Lekki,Lagos,2,Flat,Sale,305000000
5 bedroom detached duplex for sale,"₦850,000,000","Lekki Phase 1, Lekki, Lagos",Lekki Phase 1,Lekki,Lagos,5,Duplex,Sale,850000000
3 bedroom flat / apartment for sale,"₦150,000,000","Yaba, Lagos",Yaba,Yaba,Lagos,3,Flat,Sale,150000000
4 bedroom terraced duplex for sale,"₦230,000,000","Abule Egba, Agege, Lagos",Abule Egba,Agege,Lagos,4,Duplex,Sale,230000000
3 bedroom detached duplex for sale,"₦300,000,000","Adeniyi Jones, Ikeja, Lagos",Adeniyi Jones,Ikeja,Lagos,3,Duplex,Sale,300000000
4 bedroom semi-detached duplex for sale,"₦180,000,000","Ogba, Ikeja, Lagos",Ogba,Ikeja,Lagos,4,Duplex,Sale,180000000
