Title,Price,Address,Details
2 bedroom flat / apartment short let,"₦155,999per day","Mercedes-benz Street, Ikate, Lekki, Lagos",N/A
5 bedroom detached duplex for rent,"₦20,000,000per annum","Bera Estate, Lekki, Lagos",N/A
5 bedroom house for sale,"₦980,000,000","Ikate, Lekki, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦200,000,000","Ikota, Lekki, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦150,000,000","Ikota, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦11,000,000per annum","Ikate, Ilasan, Lekki, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦900,000,000","Cowrie Creek, Ikate Elegushi, Lekki, Lagos",N/A
4 bedroom semi-detached duplex for rent,"₦12,000,000per annum","Osapa, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦18,000,000per annum","Lekki Phase 1, Lekki Phase 1, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦1,200,000,000","21 Olawale Onitiri Cole Avenue Off Admiralty Road, Lekki Phase 1, Lekki, Lagos",N/A
2 bedroom flat / apartment for sale,"₦300,000,000","Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦160,000,000per annum","Lekki Phase 1, Lekki, Lagos",N/A
2 bedroom flat / apartment for sale,"₦305,000,000","Lekki Right Side, Lekki Phase 1, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦850,000,000","Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom flat / apartment for sale,"₦150,000,000","Yaba, Lagos",N/A
4 bedroom terraced duplex for sale,"₦230,000,000","Abule Egba, Agege, Lagos",N/A
3 bedroom detached duplex for sale,"₦300,000,000","Adeniyi Jones, Ikeja, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦180,000,000","Ogba, Ikeja, Lagos",N/A
5 bedroom terraced duplex for sale,"₦550,000,000","Ikeja GRA, Ikeja, Lagos",N/A
2 bedroom flat / apartment for rent,"₦6,000,000per annum","Area 11, Garki, Abuja",N/A
4 bedroom semi-detached duplex for sale,"₦350,000,000","An Estate In Life Camp, Abuja, Life Camp, Abuja",N/A
3 bedroom flat / apartment for sale,"₦120,000,000","Asokoro District, Abuja",N/A
3 bedroom flat / apartment for rent,"₦45,000,000per annum","Victoria Island (VI), Lagos",N/A
